,sample_name,legend,xmin,ymin,width,height
0,graph0.png,['nondetrimental'],749,195,110,32
0,graph1.png,[],,,,
0,graph2.png,['observatin'],137,128,86,32
0,graph3.png,[],,,,
0,graph4.png,"['altering', 'overhostilely', 'shiftingness']",753,191,97,47
0,graph5.png,['reseeded'],780,246,80,32
0,graph6.png,"['shiningness', 'cyclarthrosis', 'cathismata', 'woundly']",444,115,97,77
0,graph7.png,['deafens'],764,132,73,32
0,graph8.png,[],,,,
0,graph9.png,['ewelease'],759,142,80,17
0,graph10.png,[],,,,
0,graph11.png,[],,,,
0,graph12.png,"['r', 'j', 'veinstuff']",457,221,79,62
0,graph13.png,[],,,,
0,graph14.png,"['zoographic', 'frolickly', 'butyrousness', 'unwanton']",135,218,100,62
0,graph15.png,['parergy'],765,190,72,32
0,graph16.png,['unhypnotisable'],453,134,110,32
0,graph17.png,"['phantasmagory', 'tripartitely', 'afferent', 'exposals']",428,203,112,77
0,graph18.png,['treating'],450,257,73,32
0,graph19.png,"['T', 'y', 'i', 'longobardic']",137,227,92,62
0,graph20.png,"['infusible', 'misdistribute', 'proclaimable', 'phytology']",744,175,99,77
0,graph21.png,"['h', 'higgling']",770,263,74,32
0,graph22.png,"['dichromasia', 'sawbones']",454,231,94,47
0,graph23.png,['agrionia'],757,201,74,17
0,graph24.png,"['footlicking', 'barbette', 'lengthy', 'sleuthhound']",134,124,96,77
0,graph25.png,['cerebbella'],774,116,86,32
0,graph26.png,['aidful'],133,251,62,32
0,graph27.png,"['j', 'k', 'civical', 'swinney']",774,131,75,77
0,graph28.png,"['J', 'outfelt', 'oversacrificially']",149,228,111,62
0,graph29.png,"['g', 'antiphons']",773,138,83,47
0,graph30.png,['bestowals'],130,274,84,17
0,graph31.png,"['O', 'gentiana']",468,130,78,47
0,graph32.png,"['L', 'u', 'ptyalin']",777,243,68,47
0,graph33.png,['proalcoholism'],127,125,103,17
0,graph34.png,"['t', 'D', 'ownwayish']",441,234,89,47
0,graph35.png,"['v', 'gecarcinidae', 'tonsure', 'chalybeate']",742,128,97,62
0,graph36.png,['jefe'],804,266,53,17
0,graph37.png,[],,,,
0,graph38.png,['halations'],465,130,79,17
0,graph39.png,"['epizootology', 'excavation', 'discophore']",434,125,97,62
0,graph40.png,['overpraises'],738,124,91,17
0,graph41.png,"['V', 'r', 's', 'nuncupate']",145,127,87,62
0,graph42.png,['fucoses'],144,260,72,32
0,graph43.png,"['G', 'f', 'curvirostres']",132,122,92,62
0,graph44.png,"['semipertinent', 'trituberculy']",732,123,103,47
0,graph45.png,"['anticlactic', 'fruitful']",444,134,85,32
0,graph46.png,['bilith'],451,244,59,32
0,graph47.png,"['pedipalpida', 'pseudoarchaically', 'libelling']",725,130,123,47
0,graph48.png,"['circumpolygon', 'gaffs', 'unadjectived']",145,120,106,62
0,graph49.png,"['o', 'R', 'angiohyalinosis', 'readopted']",742,230,110,62
0,graph50.png,"['stiffs', 'qubba']",136,118,65,32
0,graph51.png,"['hazinesses', 'dulled']",770,130,88,32
0,graph52.png,[],,,,
0,graph53.png,['shipt'],792,197,59,17
0,graph54.png,"['habitative', 'pneumotyphoid', 'vaquero']",721,132,112,62
0,graph55.png,['unwheel'],755,245,76,32
0,graph56.png,"['c', 'D', 'gorglin', 'windberry']",771,183,84,62
0,graph57.png,"['n', 'G', 'irritably']",137,178,73,47
0,graph58.png,"['V', 'a', 'sunniness', 'tappietoorie']",747,231,94,62
0,graph59.png,"['j', 'G', 'ulysses', 'unrightfully']",133,133,91,62
0,graph60.png,"['ectases', 'acanthopanax', 'whosomever', 'kras']",734,175,104,62
0,graph61.png,['plagal'],768,191,64,17
0,graph62.png,[],,,,
0,graph63.png,"['anovesical', 'waregga', 'humorism', 'diolefine']",441,226,86,62
0,graph64.png,"['o', 'ratifiers', 'cymbalom', 'schizospore']",443,224,92,62
0,graph65.png,['countryfiedness'],721,245,113,32
0,graph66.png,['sagolike'],763,191,77,32
0,graph67.png,['mosaics'],468,251,74,32
0,graph68.png,"['gerontocracy', 'phociform']",730,178,99,47
0,graph69.png,"['overholy', 'tidewaiter', 'zincking']",769,185,84,47
0,graph70.png,['theologastric'],760,127,98,32
0,graph71.png,['overprinting'],744,209,94,17
0,graph72.png,"['passaging', 'forebemoaned']",748,234,106,47
0,graph73.png,['serpolet'],132,197,74,17
0,graph74.png,['ironmaster'],749,189,88,17
0,graph75.png,"['b', 'P', 'odiums', 'patrilinies']",758,143,83,62
0,graph76.png,['uncolleged'],738,188,115,32
0,graph77.png,"['h', 'platymeric']",758,130,87,32
0,graph78.png,['hominisection'],755,137,103,17
0,graph79.png,['gestant'],445,141,72,17
0,graph80.png,"['u', 'smallclothes', 'peles']",754,171,96,47
0,graph81.png,"['i', 'matti', 'mealymouthedly', 'prevened']",713,167,117,62
0,graph82.png,"['E', 'pulps', 'subpectinated', 'reshovel']",738,141,105,77
0,graph83.png,"['N', 'continuities', 'fortressing']",155,189,92,47
0,graph84.png,"['r', 'h', 'B', 'texaco']",128,119,67,77
0,graph85.png,"['T', 'recaption', 'unstrange']",760,222,84,62
0,graph86.png,['headframe'],770,121,88,17
0,graph87.png,['tawsed'],768,133,70,17
0,graph88.png,"['k', 'chaetophora', 'birdieback', 'spawning']",754,179,96,62
0,graph89.png,"['g', 'n', 'monaurally']",759,117,90,47
0,graph90.png,['infl'],737,138,103,32
0,graph91.png,[],,,,
0,graph92.png,"['everly', 'hydronephrotic']",158,189,109,32
0,graph93.png,"['i', 'z', 'geront']",464,122,86,62
0,graph94.png,"['nuddy', 'cascaras', 'untempestuous']",136,132,111,47
0,graph95.png,"['h', 'h', 'viragoish']",768,122,79,47
0,graph96.png,"['D', 'mudejar', 'ytterbia']",764,132,75,62
0,graph97.png,"['warnish', 'presses', 'fissurella']",765,226,78,62
0,graph98.png,"['E', 'robotics']",761,136,73,47
0,graph99.png,['catacrotism'],153,120,92,17
0,graph100.png,"['B', 'B', 'M', 'serinus']",159,131,70,77
0,graph101.png,"['N', 'O', 'corvoid', 'jettisons']",167,126,76,77
0,graph102.png,"['W', 'preprovocation', 'selly']",150,120,108,47
0,graph103.png,"['n', 'molybdoparesis', 'comprehensibleness']",706,132,135,62
0,graph104.png,"['staunchable', 'bobs']",142,241,95,47
0,graph105.png,"['paludicolae', 'galbulus']",764,120,91,47
0,graph106.png,"['basoga', 'tritogeneia']",147,137,88,32
0,graph107.png,"['coincorporate', 'poisoner']",129,232,102,47
0,graph108.png,['concision'],144,262,80,17
0,graph109.png,"['milanese', 'lamellicorn', 'interrogatively']",746,175,106,47
0,graph110.png,"['subtreasurership', 'singhalese', 'sixfolds']",140,169,117,62
0,graph111.png,['algebraized'],455,263,92,17
0,graph112.png,[],,,,
0,graph113.png,"['E', 'u', 'noncondiment']",738,220,105,62
0,graph114.png,[],,,,
0,graph115.png,"['l', 'hammerlike']",467,256,93,32
0,graph116.png,"['softship', 'sheria', 'nonaddresser']",729,118,101,47
