sample_name,legend
20220915194538484039.png,
20220915194540522606.png,['DC' 'mode' 'HI']
20220915194541155437.png,['KY' 'user']
20220915194541753054.png,['B' 'hat' 'AZ' 'C']
20220915194542124279.png,['ALSK' 'LA' 'Limestone' 'DEL']
20220915194542581896.png,['Tuff' 'Carbonates']
20220915194543044910.png,['Na' 'art']
20220915194543374106.png,['MN' 'ME' 'Na']
20220915194543848379.png,['lab' 'army' 'town']
20220915194544376841.png,['IL' 'ME' 'bonus']
20220915194544831600.png,['Shale' 'FLA' 'dirt']
20220915194545335362.png,
20220915194545824319.png,['Chert' 'COL' 'Dolostone' 'Iron oxides']
20220915194546146996.png,['week' 'ILL']
20220915194546786670.png,['buyer' 'KANS' 'area' 'Amphiboles']
20220915194547172350.png,
20220915194547690241.png,
20220915194548021186.png,
20220915194548337733.png,['Anhydrite' 'mud']
20220915194548823142.png,
20220915194549218329.png,
20220915194549786223.png,['Fe' 'COL']
20220915194555330469.png,
20220915194555674103.png,['wood' 'AR' 'mud']
20220915194556202065.png,['river' 'CO']
20220915194556580480.png,['Amphiboles' 'mode' 'wood']
20220915194557067004.png,['Gypsum' 'KANS']
20220915194557547338.png,['LA' 'event' 'wood' 'Coal']
20220915194558048890.png,
20220915194558336235.png,['mud' 'Carbonates']
20220915194558783474.png,
20220915194559086461.png,['cell' 'Limestone']
20220915194559812340.png,
20220915194600278812.png,['ALSK' 'GA' 'DC']
20220915194600777257.png,['area' 'lab' 'Titanium' 'O']
20220915194601325064.png,
20220915194601864493.png,
20220915194602431455.png,
20220915194602882179.png,
20220915194603263616.png,['week' 'ILL']
20220915194603615063.png,['river' 'R' 'Claystone' 'Feldspars']
20220915194603930353.png,['O' 'ALA' 'area']
20220915194604313686.png,['bonus' 'Anhydrite']
20220915194604646267.png,['Coal' 'Zn' 'Na']
20220915194605027647.png,
20220915194605550607.png,['MN' 'CO' 'CONN']
20220915194606120512.png,['mode' 'DE' 'Coal' 'MASS']
20220915194606895004.png,
20220915194607226022.png,
20220915194607542323.png,
20220915194608064546.png,
20220915194608673261.png,['cell' 'Tuff' 'ALA']
20220915194609356805.png,['MI' 'GA' 'area']
20220915194609686943.png,['MASS' 'AR' 'ME' 'CALIF']
20220915194610112324.png,['K' 'lake' 'Diatomite' 'ALSK']
20220915194610677449.png,['ME' 'Tuff' 'Iron oxides' 'ratio']
20220915194611150381.png,
20220915194611845690.png,['MICH' 'hall' 'depth']
20220915194612265096.png,['AL' 'lab']
20220915194612653656.png,
20220915194612942475.png,['dirt' 'ARK']
20220915194613288504.png,['Fe' 'Pyroxenes' 'Ca' 'Chert']
20220915194613672594.png,['lake' 'Fe']
20220915194614030438.png,
20220915194614366344.png,['IND' 'CO']
20220915194614834620.png,['IA' 'DEL' 'wood' 'DE']
20220915194615569996.png,['P' 'mud' 'week']
20220915194616318294.png,['COL' 'Gypsum' 'ME' 'C']
20220915194616994359.png,
20220915194617721043.png,['area' 'IN' 'MASS' 'buyer']
20220915194618093338.png,['hat' 'Chert']
20220915194618565429.png,['ME' 'Co' 'buyer']
20220915194619152372.png,['DC' 'DE' 'FLA']
20220915194619640444.png,['Tuff' 'Pyroxenes']
20220915194619964360.png,['Zn' 'video']
20220915194620599295.png,
20220915194620937218.png,['Na' 'DC' 'Co' 'user']
20220915194621621164.png,['A' 'virus' 'buyer' 'Fe']
20220915194622134873.png,['R' 'A' 'IA']
20220915194622538479.png,['user' 'art']
20220915194623178767.png,['DE' 'CA' 'Mg']
20220915194623860429.png,['Na' 'town' 'Dolostone' 'Pyroxenes']
20220915194624335129.png,
20220915194624687817.png,['cell' 'Coal' 'ME']
20220915194625240341.png,['army' 'depth' 'Sandstone' 'town']
